City,Latitude,Longitude
Mumbai,19.01441,72.8479385
Delhi,28.6666667,77.2166672
Bengaluru,12.9762267,77.6032944
Calcutta,22.5697222,88.3697205
Chennai,13.0878385,80.2784729
Ahmadabad,23.0333333,72.6166687
Hyderabad,17.3752778,78.4744415
Pune,18.5195742,73.8553543
Surat,21.1666667,72.8333359
Kanpur,26.4666667,80.3499985
Jaipur,26.9166667,75.8166656
Lucknow,26.85,80.9166641
Nagpur,21.15,79.0999985
Indore,22.7179235,75.8332977
Patna,25.6,85.1166687
Bhopal,23.2666667,77.4000015
Ludhiana,30.9,75.8499985
Agra,27.1833333,78.0166702
Vadodara,22.3,73.1999969
Gorakhpur,29.45,75.6833344
Nasik,19.9833333,73.8000031
Pimpri,18.6166667,73.8000031
Kalyan,19.25,73.1500015
Thane,19.2,72.9666672
Meerut,28.9833333,77.6999969
Faridabad,28.4333333,77.3166656
Ghaziabad,28.6666667,77.4333344
Rajkot,22.3,70.7833328
Benares,25.3333333,83
Amritsar,31.6330556,74.8655548
Allahabad,25.45,81.8499985
Vishakhapatnam,17.7,83.3000031
Teni,10,77.4833298
Jabalpur,23.1669749,79.9500656
Haora,22.5891667,88.3102798
Aurangabad,19.8833333,75.3333359
Solapur,17.6833333,75.9166641
Srinagar,34.0833333,74.8166656
Coimbatore,11,76.9666672
Jodhpur,26.2866667,73.0299988
Chandigarh,30.7372222,76.7872238
Madurai,9.9333333,78.1166687
Guwahati,26.1861736,91.750946
Gwalior,26.2236111,78.1791687
Vijayawada,16.5166667,80.6166687
Mysore,12.3072222,76.6497192
Ranchi,23.35,85.3333359
Hubli,15.35,75.1666641
Jalandhar,31.3255556,75.5791702
Thiruvananthapuram,8.4833333,76.9166641
Salem,11.65,78.1666641
Tiruchchirappalli,10.8166667,78.6833344
Kota,25.1833333,75.8333359
Bhubaneshwar,20.2333333,85.8333359
Aligarh,27.8833333,78.0833359
Bareilly,28.35,79.4166641
Moradabad,28.8333333,78.7833328
Bhiwandi,19.3,73.0666656
Raipur,21.2333333,81.6333313
Gorakhpur,26.755,83.3738861
Bhilai,21.2166667,81.4333344
Jamshedpur,22.8,86.1833344
Cochin,9.9666667,76.2333298
Amravati,20.9333333,77.75
Cuttack,20.4649727,85.8792648
Bikaner,28.0166667,73.3000031
Warangal,18,79.5833359
Bhavnagar,21.7666667,72.1500015
Guntur,16.3,80.4499969
Dehra Dun,30.3166667,78.0333328
Durgapur,23.4833333,87.3166656
Ajmer,26.45,74.6333313
Ulhasnagar,19.2166667,73.1500015
Kolhapur,16.7,74.2166672
Shiliguri,26.7,88.4333344
Asansol,23.6833333,86.9833298
Jamnagar,22.4666667,70.0666656
Saharanpur,29.9666667,77.5500031
Gulbarga,17.3333333,76.8333359
Bhatpara,22.8713889,88.4088898
Jammu,32.7333333,74.8666687
Ujjain,23.1833333,75.7666702
Nangi,22.5083333,88.2152786
Calicut,11.25,75.7666702
Tirunelveli,8.7333333,77.6999969
Malegaon,20.55,74.5333328
Jalgaon,21.0166667,75.5666656
Akola,20.7333333,77
Belgaum,15.8666667,74.5
Gaya,24.7833333,85
Udaipur,24.5833333,73.6833344
Korba,22.35,82.6833344
Bokaro,23.7833333,85.9666672
Mangalore,12.8666667,74.8833313
Jhansi,25.4333333,78.5833359
Nellore,14.4333333,79.9666672
Tiruppur,11.1,77.3499985
Quilon,8.8833333,76.5999985
Panihati,22.6941667,88.3744431
Ahmadnagar,19.0833333,74.7333298
